,Country (or dependent territory),2020,2021,2022,2023,2024,2025,2026,2027,2028
87,Kazakhstan,501798,545838,603344,654050,696903,743397,771821,810340,849946
88,Kenya,246948,277627,311473,338964,364876,392124,421146,451887,484787
89,Kiribati,229,258,279,297,311,325,338,352,366
90,South Korea,2323261,2532121,2780287,2924189,3056739,3188903,3323801,3458147,3596684
91,Kosovo,20240,23421,25942,27918,29692,31503,33366,35267,37286
92,Kuwait,202251,213756,249003,256593,271801,288614,301249,314219,327834
93,Kyrgyzstan,33192,36593,41635,44623,47588,50441,53451,56600,59942
94,Laos,58998,62918,68842,74205,78927,83837,89047,94607,100693
95,Latvia,61317,66812,73467,76550,80330,84595,89030,93604,98433
96,Lebanon,77743,73112,78233,78233,78233,78233,78233,78233,78233
97,Lesotho,5619,5976,6531,6915,7235,7566,7875,8166,8451
98,Liberia,7285,7994,8965,9718,10465,11356,12312,13338,14572
99,Libya,110281,147886,143021,166887,183390,199904,212403,220948,230206
100,Lithuania,109904,121709,132694,137328,144261,150987,157798,164245,170878
101,Luxembourg,75087,84084,91216,94152,97726,102074,106664,111060,115671
102,Macau,39392,49092,38473,69565,90463,105703,114323,120302,126659
103,Madagascar,42808,47298,52636,56754,60826,64969,69342,73858,78612
104,Malawi,30515,33342,35963,37919,40040,42400,45081,47971,51107
105,Malaysia,906369,978313,1137400,1225927,1307270,1392434,1482031,1568453,1660404
106,Maldives,7290,10798,13156,14740,15827,17196,18564,19943,21349
107,Mali,47600,51258,56880,61625,66046,70949,76014,81274,86919
108,Malta,23055,27053,30950,33303,35175,37133,39181,41279,43520
109,Marshall Islands,228,240,246,263,277,288,298,308,319
110,Mauritania,25280,27062,30829,33414,35996,39279,41585,44360,47050
111,Mauritius,27032,29207,33969,37012,39288,41455,43715,45997,48410
112,Mexico,2492029,2755983,3064000,3277601,3423585,3543651,3676815,3818108,3968906
113,Federated States of Micronesia,357,364,388,413,435,452,467,481,493
114,Moldova,32987,39259,39918,42217,45023,48225,51618,55187,59022
115,Mongolia,40587,43104,48445,52989,56628,59791,63085,66487,70427
116,Montenegro,11993,14167,16089,17431,18486,19462,20435,21432,22485
117,Morocco,296820,335030,363011,385337,408317,429797,452334,476204,501455
118,Mozambique,40610,43435,48425,53710,57651,61730,65419,75347,86012
119,Myanmar,279136,239354,261169,277767,291557,304955,318905,334149,351900
120,Namibia,23766,25709,28765,30663,32206,33747,35313,36895,38556
121,Nauru,117,126,137,143,148,155,161,168,175
122,Nepal,116588,127719,144337,150800,161902,173788,186149,199207,213274
123,Netherlands,1004383,1114485,1244148,1297024,1341659,1389621,1439317,1489640,1542047
124,New Zealand,218758,242434,266296,279183,288484,300374,313076,326445,340474
125,Nicaragua,37316,43027,47768,51022,53896,56887,60021,63258,66685
126,Niger,31210,33068,39596,42739,48574,52765,57091,61624,66532
127,Nigeria,1070302,1159168,1280700,1365903,1439637,1513566,1590514,1669180,1752197
128,North Macedonia,34925,37928,41456,44055,46495,49093,51797,54590,57547
129,Norway,356020,386514,427144,452964,470170,485553,502309,518410,535301
130,Oman,158802,171066,190941,200295,210307,221054,233040,244669,256904
131,Pakistan,1211356,1338810,1520020,1568427,1644057,1737575,1851000,1979085,2116545
132,Palau,270,245,257,268,308,352,371,385,399
133,Panama,120658,146043,173166,190306,202402,214740,227664,241099,255390
